source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
Cleartrip,Air India,AI-2441,14:00,20:30,6h 30m,1 stop,12459,2025-12-28T23:51:12.541196
Cleartrip,Air India,AI-2941,16:30,22:15,5h 45m,1 stop,12459,2025-12-28T23:51:12.358251
Cleartrip,IndiGo,6E-2087,14:40,20:50,6h 10m,1 stop,12475,2025-12-28T23:51:12.718162
Goibibo,Air India Express,IX 2679,21:10,00:05,02 h 55 m,Non stop,12553,2025-12-28T23:48:58.344844
Cleartrip,Air India,AI-2465,14:30,20:55,6h 25m,1 stop,12695,2025-12-28T23:51:12.840995
Cleartrip,Air India,AI-1734,18:25,01:25,,1 stop,12855,2025-12-28T23:51:12.901675
Cleartrip,Air India,AI-531,19:10,01:30,6h 20m,1 stop,12928,2025-12-28T23:51:12.969004
Cleartrip,Air India Express,IX-2174,18:20,01:55,7h 35m,1 stop,12953,2025-12-28T23:51:13.028518
Cleartrip,Air India,AI-2973,20:50,01:40,4h 50m,1 stop,13225,2025-12-28T23:51:13.085693
Cleartrip,Air India,AI-487,16:00,22:15,6h 15m,1 stop,13237,2025-12-28T23:51:13.151015
Cleartrip,Air India,AI-441,17:05,22:15,5h 10m,1 stop,13297,2025-12-28T23:51:13.212408
Cleartrip,IndiGo,6E-2052,12:15,18:15,,1 stop,13404,2025-12-28T23:51:13.276372
Cleartrip,Air India,AI-2899,12:30,18:30,,1 stop,13632,2025-12-28T23:51:13.336848
Cleartrip,IndiGo,6E-6602,06:20,11:30,5h 10m,1 stop,13634,2025-12-28T23:51:13.400606
Cleartrip,IndiGo,6E-2411,06:55,12:40,5h 45m,1 stop,13750,2025-12-28T23:51:13.462199
Cleartrip,Air India,AI-1710,19:00,01:55,6h 55m,1 stop,13757,2025-12-28T23:51:13.519132
Cleartrip,Air India Express,IX-1223,07:35,15:40,8h 5m,1 stop,13893,2025-12-28T23:51:13.576283
Cleartrip,Air India,AI-2971,16:00,22:45,6h 45m,1 stop,13913,2025-12-28T23:51:13.695120
Cleartrip,Air India,AI-1740,17:40,22:45,5h 5m,1 stop,13913,2025-12-28T23:51:13.636368
Cleartrip,SpiceJet,SG-176,19:15,15:20,20h 5m,1 stop,14159,2025-12-28T23:51:13.752273
Cleartrip,Air India Express,IX-1090,13:10,19:10,,1 stop,14409,2025-12-28T23:51:13.821704
Cleartrip,Air India,AI-1702,18:40,23:59,5h 19m,1 stop,14415,2025-12-28T23:51:13.881255
Cleartrip,Air India,AI-1745,05:25,11:45,6h 20m,1 stop,14436,2025-12-28T23:51:14.058489
Cleartrip,Air India,AI-2975,06:25,11:45,5h 20m,1 stop,14436,2025-12-28T23:51:14.000867
Cleartrip,Air India,AI-2429,07:05,11:45,4h 40m,1 stop,14436,2025-12-28T23:51:13.942849
Cleartrip,IndiGo,6E-6789,15:40,21:55,6h 15m,1 stop,14523,2025-12-28T23:51:14.115863
Cleartrip,IndiGo,6E-6614,17:30,23:35,6h 5m,1 stop,14663,2025-12-28T23:51:14.178830
Cleartrip,IndiGo,6E-2425,14:25,20:40,6h 15m,1 stop,14681,2025-12-28T23:51:14.243776
Cleartrip,Air India Express,IX-1081,16:20,23:00,6h 40m,1 stop,14760,2025-12-28T23:51:14.309468
Cleartrip,Air India Express,IX-1251,12:40,19:05,6h 25m,1 stop,14946,2025-12-28T23:51:14.369206
Cleartrip,Air India,AI-2959,07:10,13:25,6h 15m,1 stop,15033,2025-12-28T23:51:14.429850
Cleartrip,Air India Express,IX-1275,05:00,10:50,5h 50m,1 stop,15056,2025-12-28T23:51:14.488200
Cleartrip,Air India,AI-9461,15:00,22:15,7h 15m,1 stop,15142,2025-12-28T23:51:14.546167
Cleartrip,IndiGo,6E-759,16:30,22:05,5h 35m,1 stop,15280,2025-12-28T23:51:14.609607
Cleartrip,Air India Express,IX-1340,18:40,01:55,7h 15m,1 stop,15767,2025-12-28T23:51:14.668346
Cleartrip,IndiGo,6E-2301,05:15,10:20,5h 5m,1 stop,15820,2025-12-28T23:51:14.728420
Cleartrip,Air India Express,IX-1737,06:55,13:00,6h 5m,1 stop,15977,2025-12-28T23:51:14.791763
Cleartrip,IndiGo,6E-2568,13:45,18:55,5h 10m,1 stop,16109,2025-12-28T23:51:14.849433
Cleartrip,IndiGo,6E-2568,13:45,22:25,8h 40m,1 stop,16187,2025-12-28T23:51:14.909757
Cleartrip,IndiGo,6E-2196,14:25,19:40,5h 15m,1 stop,16280,2025-12-28T23:51:14.967720
Cleartrip,IndiGo,6E-6688,16:25,22:35,6h 10m,1 stop,16294,2025-12-28T23:51:15.028734
Cleartrip,IndiGo,6E-6741,04:45,11:05,6h 20m,1 stop,16377,2025-12-28T23:51:15.091961
Cleartrip,Air India,AI-2702,02:00,08:50,6h 50m,1 stop,16390,2025-12-28T23:51:15.147683
